,training_loss,validation_loss,training_auc,validation_auc
0,0.8892126670875002,0.7757739712030459,0.7889568662630444,0.7961425872596692
1,0.7744310464055735,0.6905902862548828,0.8308033532054477,0.8592566493368944
2,0.7222818906731645,0.6347228383406615,0.85618143232154,0.8819481712543829
3,0.6926494610352328,0.6035695757621374,0.8700874582654293,0.8980856347948984
4,0.674983349111345,0.5975363337076627,0.8771030175483236,0.904145673012172
5,0.6643189975864998,0.5824459904279464,0.8831890563054022,0.9123788792614123
6,0.6527611463727917,0.5741430759429932,0.8884123746619899,0.9169852437435914
7,0.6456879711350517,0.5678103101559174,0.8920009760478959,0.9222364258983633
8,0.6350360038459942,0.5560694138209025,0.8963182788769177,0.9263499965280166
9,0.6248972029953732,0.5638035948459919,0.9000524314581089,0.9262736963586393
10,0.621187920852374,0.5568868701274579,0.9026441445936502,0.9279281615012973
11,0.6120848635049134,0.5539691234246279,0.9071227036872219,0.9313472839551806
12,0.6073483490744515,0.5277907107120905,0.9104995913426969,0.9355339383057659
13,0.5976311778082215,0.5520849866744799,0.9138518222343333,0.935803833965793
14,0.5941394630868517,0.5279436841989175,0.9163764632735425,0.9377420927744893
15,0.5855340424974047,0.5250488785596994,0.9197348884705093,0.9399952877279134
16,0.5819907246809564,0.5183011767191764,0.9231928095179663,0.9407738611842136
17,0.5767648696472141,0.5296494364738464,0.924425633230477,0.9418347240154862
18,0.567365411646762,0.5261297241235391,0.9283007838724903,0.9406578627205301
19,0.5606755431977367,0.5156515631920252,0.9313358274319835,0.9421800158019404
20,0.5572417961653843,0.5100961810503251,0.9327637105051657,0.9460261129047007
21,0.5479691480080572,0.5139832678513649,0.9371130598372766,0.946042274502491
22,0.5434211261810795,0.5100806679481115,0.9391138400500957,0.9443083504354641
23,0.5339245433733313,0.5212477644284567,0.9429188926208385,0.9464723171139049
24,0.5288907758793666,0.5155871730584365,0.9454943227715529,0.9476869296527637
25,0.5214680200409291,0.5122677589074159,0.947861550053761,0.9449649680558636
26,0.5149084394408241,0.5293661304009266,0.9495661197111522,0.9424035076319948
27,0.5162951829470471,0.5191336356676541,0.9522127818362005,0.9433966315303735
28,0.5029461414440843,0.5008818060923845,0.9550980627642758,0.9473160381029864
29,0.49785166565805067,0.5238308136279767,0.9559841225850049,0.9442674527656406
30,0.4974513868206006,0.5203098124418504,0.9580049974571127,0.9440584644858753
31,0.48523246273487414,0.5211282934897985,0.9601454721272435,0.9435815904902161
32,0.4770979245005258,0.5227357528148553,0.962402335448088,0.9449605541381715
33,0.4754180252338396,0.49351114630699155,0.9651081903490754,0.9479956209805822
34,0.4623484067449718,0.5023242698265956,0.9661160536368433,0.9465659021230973
35,0.46046268395198287,0.4974582734780434,0.9677958707843212,0.9483430102031678
36,0.45108460098184566,0.4942591845989227,0.9700941209819153,0.9467661629403699
37,0.45291742835563287,0.5029459271675502,0.9719324107643044,0.9450850617230033
38,0.4413728321253755,0.4944053561259539,0.9737365881670982,0.945433645037977
39,0.4377319527213576,0.5046001186737648,0.9749543669106879,0.9427301880075971
40,0.4315952244198023,0.5099733447417235,0.9762654468964141,0.9441796708928824
41,0.4273146190096401,0.5280333500642043,0.976638972231413,0.9427544904832585
42,0.42395121638920147,0.5163696444951571,0.9786886231356247,0.944053272256746
43,0.4114822096579676,0.50941226207293,0.9800162007925769,0.9442840915728323
