epochs,AttentiveFP_AGCN: 863604,MolMapNet_MMND: 407617,KekuleScope_bnVGG19:127117337,DeepChem_MPNN: 341201
1,11.411424160003662,122.34743213653564,58.60395312309265,20.098738193511966
10,14.157857418060305,115.96813821792604,355.6781105995178,33.76654958724976
50,44.27401089668274,127.02079916000366,1280.6750574111936,97.86075878143309
100,81.56575489044191,140.3394820690155,2445.0373599529266,177.51170635223392
150,117.72138333320619,152.14615488052368,3605.308823347092,255.09991121292114
300,236.1143479347229,188.986469745636,7080.079650878906,494.2463235855103
500,388.16083359718317,238.5355529785156,11710.147318124773,820.0802054405212
