,epochs,total_time(s),average_time(s)
0,1,20.098738193511963,20.098738193511963
1,10,33.766549587249756,3.3766549587249757
2,50,97.8607587814331,1.9572151756286622
3,100,177.5117063522339,1.7751170635223388
4,150,255.09991121292114,1.7006660747528075
5,300,494.24632358551025,1.6474877452850343
6,500,820.0802054405212,1.6401604108810426
