,epochs,total_time(s),average_time(s)
0,1,58.60395312309265,58.60395312309265
1,10,355.6781105995178,35.56781105995178
2,50,1280.6750574111938,25.613501148223875
3,100,2445.0373599529266,24.450373599529268
4,150,3605.3088233470917,24.035392155647276
5,300,7080.079650878906,23.600265502929688
6,500,11710.147318124771,23.420294636249544
