,cell_line,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,# trainable params,random_seed,best_epoch,batch_size,lr,data_split_seed
0,PC-3,0.2178040598056125,0.6222267429674537,0.6379242750043382,0.9569487389035692,0.6543417777972571,0.6234476003070959,803681,7,81,128,0.0001,1
1,PC-3,0.2284549070645941,0.6322573678527066,0.6509350625104748,0.9522633590325672,0.6447643936621336,0.6094707577891825,803681,77,101,128,0.0001,1
2,PC-3,0.3033156657241325,0.6422811415583483,0.6487585282696651,0.9152366557606418,0.6328892542268021,0.610770439076259,803681,777,80,128,0.0001,1
