,cell_line,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,# trainable params,random_seed,best_epoch,batch_size,lr,data_split_seed
0,KB,0.3363969441435361,0.898919787173834,0.9416576811843406,0.9375174800364869,0.5438585943501536,0.5485267452552746,127117337,7,52,16,0.01,1
1,KB,0.3132416621475209,0.9577505889319914,0.9903528300969634,0.9488525002445607,0.48565069166500113,0.5014687321366985,127117337,77,124,16,0.01,1
2,KB,0.32879130996119316,0.9898456000490665,0.9343588157990228,0.9438800333284411,0.4511430650405173,0.5490971199456888,127117337,777,122,16,0.01,1
