,task_name,fp_type,split-time,test_rmse,test_r2
0,ESOL,MorganFP,0,1.3849804265893113,0.58836312424278
1,ESOL,MorganFP,1,1.467926556578546,0.46681404200519744
2,ESOL,MorganFP,2,1.3755072510819883,0.5191512427977494
3,ESOL,RDkitFP,0,1.1436746065611407,0.7376975325720015
4,ESOL,RDkitFP,1,1.3563548443921445,0.6183596671293
5,ESOL,RDkitFP,2,1.1644273747581682,0.6728595592570047
6,ESOL,AtomPairFP,0,0.9957921094163075,0.7817207614133068
7,ESOL,AtomPairFP,1,1.1741450825752695,0.6619847387803031
8,ESOL,AtomPairFP,2,1.0273568402405129,0.7276417672082204
9,ESOL,TorsionFP,0,1.2986756095844498,0.6380639445575815
10,ESOL,TorsionFP,1,1.6800400080965534,0.4109064676582722
11,ESOL,TorsionFP,2,1.5297021867371363,0.4769048192779961
12,ESOL,AvalonFP,0,1.0345874964205488,0.766076358850085
13,ESOL,AvalonFP,1,1.1116279888183265,0.693392055235059
14,ESOL,AvalonFP,2,1.193732078037201,0.6522183425373168
15,ESOL,EstateFP,0,1.304262303960501,0.636652904192704
16,ESOL,EstateFP,1,1.4378631111041151,0.49662159734773165
17,ESOL,EstateFP,2,1.515087466588521,0.4221119854459641
18,ESOL,MACCSFP,0,1.147424566244439,0.7137863949919023
19,ESOL,MACCSFP,1,1.1425270279737927,0.672131922068323
20,ESOL,MACCSFP,2,1.0308745088934033,0.7231656836523702
21,ESOL,PharmacoErGFP,0,1.2229105847659163,0.6710873028979483
22,ESOL,PharmacoErGFP,1,1.484086821019488,0.45746193442538663
23,ESOL,PharmacoErGFP,2,1.3097492096872592,0.5520636023595805
24,ESOL,PharmacoPFP,0,1.1207154232537162,0.7224644339349229
25,ESOL,PharmacoPFP,1,1.0643516705844691,0.7278366378365649
26,ESOL,PharmacoPFP,2,1.1826896620624665,0.6348818104921619
27,ESOL,PubChemFP,0,1.1139637055675777,0.7506942840584193
28,ESOL,PubChemFP,1,1.0600687999190455,0.7179144241545845
29,ESOL,PubChemFP,2,1.0534063814239871,0.7230922900256084
30,ESOL,MHFP6,0,1.2323282971109382,0.6717440271631794
31,ESOL,MHFP6,1,1.237504052450013,0.6205769385655036
32,ESOL,MHFP6,2,1.2126953874995372,0.6341250561495254
33,ESOL,MAP4,0,1.520560778017774,0.609667244867529
34,ESOL,MAP4,1,1.5684209017388548,0.5309377578917632
35,ESOL,MAP4,2,1.4811054727653676,0.5700330945042704
36,Lipop,MorganFP,0,0.9432579331108987,0.38979726113989044
37,Lipop,MorganFP,1,0.9866593555055272,0.33380966428512965
38,Lipop,MorganFP,2,0.9460971698396664,0.3673326136653754
39,Lipop,RDkitFP,0,0.9737696667456783,0.3716768636006754
40,Lipop,RDkitFP,1,0.9780332167262845,0.36573242724029015
41,Lipop,RDkitFP,2,0.9304655854501259,0.38292836336785796
42,Lipop,AtomPairFP,0,0.9037047351116396,0.4572277349718332
43,Lipop,AtomPairFP,1,0.9615110824129909,0.38493142709185274
44,Lipop,AtomPairFP,2,0.8638468981836873,0.4682248104372601
45,Lipop,TorsionFP,0,0.9131028964188252,0.4237234904586407
46,Lipop,TorsionFP,1,0.9879767036662168,0.3240054872094953
47,Lipop,TorsionFP,2,0.921869508245167,0.3919987840290255
48,Lipop,AvalonFP,0,0.9225074014661199,0.41903786983112024
49,Lipop,AvalonFP,1,0.9527105059805173,0.3889635962432564
50,Lipop,AvalonFP,2,0.9467097530754529,0.364950017473445
51,Lipop,EstateFP,0,0.9712550383192405,0.3497091061364915
52,Lipop,EstateFP,1,1.0679454146304135,0.2508777985974827
53,Lipop,EstateFP,2,0.9865510719130112,0.3044257795357562
54,Lipop,MACCSFP,0,0.9141294001496103,0.4213643154262219
55,Lipop,MACCSFP,1,0.9483759812781876,0.3759230978367384
56,Lipop,MACCSFP,2,0.9244814101188332,0.39324226312932375
57,Lipop,PharmacoErGFP,0,0.8518525216562595,0.4966781338699696
58,Lipop,PharmacoErGFP,1,0.9029873709160714,0.4414864827826343
59,Lipop,PharmacoErGFP,2,0.8421410488951703,0.49715523671592143
60,Lipop,PharmacoPFP,0,0.872278372051761,0.4724358366002416
61,Lipop,PharmacoPFP,1,0.9206863996356066,0.426709160901292
62,Lipop,PharmacoPFP,2,0.8730637183602967,0.4549546521553536
63,Lipop,PubChemFP,0,0.9158534013439983,0.42241645766045277
64,Lipop,PubChemFP,1,0.9502486398960409,0.3838516647863405
65,Lipop,PubChemFP,2,0.8773707937655875,0.4504672418217888
66,Lipop,MHFP6,0,0.9289122256653833,0.4045419085248655
67,Lipop,MHFP6,1,0.9752019091766647,0.3373922139317756
68,Lipop,MHFP6,2,0.9471236160493989,0.3596781094658715
69,Lipop,MAP4,0,1.0461757964856095,0.30341308975695197
70,Lipop,MAP4,1,1.0371769283442809,0.30640926860343154
71,Lipop,MAP4,2,1.0459687643479199,0.3003782220909648
72,FreeSolv,MorganFP,0,3.230704572441323,0.37153355978101993
73,FreeSolv,MorganFP,1,3.098149938559698,0.51796909976275
74,FreeSolv,MorganFP,2,2.5374201492579225,0.6145391662992244
75,FreeSolv,RDkitFP,0,1.9505123587248714,0.7655595058543518
76,FreeSolv,RDkitFP,1,1.993329106241052,0.8014065144276161
77,FreeSolv,RDkitFP,2,1.949218805650008,0.7168507835486906
78,FreeSolv,AtomPairFP,0,2.224555924852413,0.7264192979323754
79,FreeSolv,AtomPairFP,1,2.4105784507010073,0.7094486554004638
