,task_name,train_auc,valid_auc,test_auc,metric,# trainable params,best_epoch,batch_size,lr,weight_decay
0,PCBA,0.48062820136651996,0.2668128763344505,0.2660505056694402,PRC,1652768,18,128,0.001,0
1,PCBA,0.44941239976003844,0.26263443413072085,0.25873646534076394,PRC,1652768,15,128,0.001,0
2,PCBA,0.4431326401087266,0.284802556303534,0.25325335467385324,PRC,1652768,14,128,0.001,0
