task_name, seed, valid_auc, test_auc
PCBA, 2, 0.26185748036416845, 0.2527096469933643
PCBA, 16, 0.2723643027865402, 0.24914351823041653
PCBA, 32, 0.2582716127171153, 0.2543210660618702
PCBA, 64, 0.25691893344340877, 0.26266598380852213
PCBA, 128, 0.2591098424730965, 0.2482577931707047
PCBA, 256, 0.2587409932018283, 0.2606488257030753
PCBA, 512, 0.26872065155773117, 0.2577843108666144
PCBA, 1024, 0.2578317181521303, 0.25807818163861895
PCBA, 2048, 0.2582696838416053, 0.25671832617006574
PCBA, 4096, 0.25632287789685687, 0.25884884290284293
