,cell_line,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,# trainable params,random_seed,best_epoch,batch_size,lr,data_split_seed
0,A2780,0.32198728740242294,0.8428657212435595,0.9122184874361866,0.9351343248246061,0.5399763444936968,0.48927896652763914,127117337,7,123,16,0.01,1
1,A2780,0.2497823382723143,0.7006369151954902,0.8470089626157905,0.9658610665353354,0.6796911271575852,0.5490880669691788,127117337,77,37,16,0.01,1
2,A2780,0.34355674506161177,0.7396860912268063,0.8326051986825117,0.9438089488320595,0.6463276037328707,0.5621315905145656,127117337,777,30,16,0.01,1
