,cell_line,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,# trainable params,random_seed,best_epoch,batch_size,lr,data_split_seed
0,SK-OV-3,0.37690193840291186,0.9175499001149671,1.0581863574513493,0.9419528177304696,0.5921647433730953,0.4493514571176376,127117337,7,88,16,0.01,1
1,SK-OV-3,0.3596645638213757,0.9527163016327088,1.0842404459753852,0.9477878488220179,0.5547133677064406,0.40862627773294324,127117337,77,87,16,0.01,1
2,SK-OV-3,0.3310430944794444,0.893779245396289,0.9738674640663169,0.9502517305694571,0.6082718506543852,0.5250760044510456,127117337,777,88,16,0.01,1
