,cell_line,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,# trainable params,random_seed,best_epoch,batch_size,lr,data_split_seed
0,CCRF-CEM,0.2583355066065602,0.8560933359541055,0.7907055425308119,0.9627657579420539,0.5209463414307525,0.5255466177990428,127117337,7,63,16,0.01,1
1,CCRF-CEM,0.23883019847053524,0.8489200071170517,0.800990318047892,0.9677191546828957,0.531303466448545,0.5229688209219774,127117337,77,100,16,0.01,1
2,CCRF-CEM,0.2684196198638267,0.834711466954969,0.7844261893169537,0.9536938264431073,0.5444421887996789,0.5357344249345445,127117337,777,61,16,0.01,1
