min_dist,n_neighbors,valid_best_loss,valid_best_auc,train_best_auc,best_epoch,test_auc
0,10,0.5943913981318474,0.8757458757458757,0.9978385811211382,128,0.8984313725490195
0.05,10,0.5239947471792334,0.8641628641628641,0.9936968908504051,82,0.8905882352941177
0.1,10,0.5176069460661206,0.8611793611793612,0.9874198559603012,70,0.8892156862745098
0.15,10,0.577684367556643,0.8595121095121095,0.9682744878466505,45,0.8913725490196078
0.2,10,0.46846291264950835,0.871007371007371,0.9839876600136135,61,0.8919607843137254
0.25,10,0.4931355587990079,0.8754826254826255,0.9791927409261577,51,0.8937254901960785
0.3,10,0.5260200717591292,0.8589856089856089,0.9718000021957272,45,0.8917647058823529
0.35,10,0.48453585472920085,0.8766233766233766,0.9784914805787936,51,0.8952941176470588
0.4,10,0.49116852869655914,0.8683748683748683,0.9790225720747426,51,0.883921568627451
0.45,10,0.6205595551268351,0.8713583713583714,0.9798102891772611,54,0.8876470588235295
0.5,10,0.5156089805609343,0.8667953667953667,0.9726769207122938,45,0.8809803921568626
0.55,10,0.5918921594390806,0.8696033696033696,0.989938080495356,68,0.8807843137254903
0.6,10,0.5181878520459529,0.8711828711828712,0.9939274421974837,92,0.8917647058823529
0.65,10,0.5713983546967143,0.8565286065286065,0.9685215071470917,45,0.8892156862745098
0.7,10,0.5086659843854556,0.8710073710073709,0.9791268691127066,51,0.8978431372549018
0.75,10,0.5690999695204741,0.8666198666198666,0.992481006960455,78,0.9013725490196077
0.8,10,0.553323061014248,0.871884871884872,0.9937421777221527,76,0.8870588235294118
0.85,10,0.5835460898225868,0.8733766233766234,0.9931959906022879,80,0.8827450980392156
0.9,10,0.6102082716264078,0.8647771147771147,0.9825027995520716,54,0.8784313725490196
0.95,10,0.503441203804995,0.8664443664443664,0.9733040752695256,51,0.900392156862745
0,15,0.5184949788924874,0.8583713583713584,0.9715941527786925,51,0.8919607843137255
0.05,15,0.5765852775449389,0.8675851175851176,0.9920706804558329,85,0.8917647058823529
0.1,15,0.5210169497013881,0.8662688662688662,0.9699528467602047,45,0.8933333333333334
0.15,15,0.5926647417197953,0.8717093717093717,0.9775775091671607,54,0.9001960784313725
0.2,15,0.47191738904706687,0.8763601263601264,0.9863412050150407,65,0.903921568627451
0.25,15,0.5512886330830735,0.8734643734643734,0.9930518960103638,85,0.8923529411764706
0.3,15,0.6438345020969972,0.8696033696033696,0.9992122828974814,186,0.888235294117647
0.35,15,0.472215192750195,0.8747806247806249,0.9933689041125968,84,0.8892156862745098
0.4,15,0.47418338094918144,0.8704808704808704,0.9925139428671804,84,0.9001960784313726
0.45,15,0.5525969103077389,0.8671463671463672,0.988521836506159,76,0.8909803921568628
0.5,15,0.5662086015653531,0.8713583713583714,0.991778374283644,80,0.8823529411764706
0.55,15,0.55789043283127,0.872937872937873,0.9925894209867598,85,0.8966666666666667
0.6,15,0.49141210135047797,0.8742541242541242,0.9936131787541445,82,0.8943137254901959
0.65,15,0.5050434363598855,0.8715338715338715,0.9931561930483279,81,0.904313725490196
0.7,15,0.6015868155495417,0.8743418743418744,0.9816313703532925,54,0.8788235294117647
0.75,15,0.4908906483887047,0.8829413829413829,0.9939027402674396,82,0.8896078431372549
0.8,15,0.5160149871217494,0.8722358722358723,0.9693284368618668,45,0.8805882352941176
0.85,15,0.6772003463956694,0.8655668655668655,0.9991807193202028,189,0.8909803921568626
0.9,15,0.47170744500807577,0.8772376272376273,0.9943254177370837,84,0.8962745098039215
0.95,15,0.5103783319328005,0.8715338715338715,0.9729596205783546,45,0.8798039215686274
0,20,0.5065199128839354,0.869076869076869,0.9979332718529741,107,0.8854901960784314
0.05,20,0.6017532412530175,0.8646893646893646,0.9841619458533695,54,0.880392156862745
0.1,20,0.6013306813770967,0.8703053703053704,0.9794699514744307,54,0.8815686274509803
0.15,20,0.5116334174889208,0.8702176202176203,0.9903785982478099,68,0.8872549019607843
0.2,20,0.5285310858231507,0.8699543699543699,0.9955207166853304,96,0.8903921568627451
0.25,20,0.5039242544513665,0.8744296244296244,0.97331093691676,45,0.8882352941176471
0.3,20,0.4968690186837651,0.8732011232011232,0.9733205432228882,45,0.8864705882352941
0.35,20,0.6585029556064417,0.8780273780273781,0.9981912697889906,126,0.8988235294117647
0.4,20,0.5312584218451913,0.8713583713583714,0.9899243572008871,70,0.8852941176470589
0.45,20,0.5235850943733524,0.8673218673218673,0.9773071602661222,45,0.8823529411764706
0.5,20,0.491390011119132,0.8760968760968761,0.9931534483894342,82,0.8862745098039214
0.55,20,0.5929659685946458,0.8725868725868726,0.9841097973343873,54,0.8843137254901959
0.6,20,0.5274359148168406,0.8644261144261144,0.9724463693652152,45,0.8935294117647058
0.65,20,0.49278520106874557,0.863109863109863,0.9911882726214787,72,0.8813725490196079
0.7,20,0.5247368675638113,0.8767111267111267,0.9925249215027557,70,0.8821568627450981
0.75,20,0.5468199883914546,0.8662688662688662,0.9961917857848627,97,0.894313725490196
0.8,20,0.5232600920543765,0.8588978588978589,0.977335979184507,51,0.884705882352941
0.85,20,0.47572402300818867,0.8808353808353808,0.9945930219792285,77,0.8870588235294117
