,task_name,seed,split,test_metric,test_performance,model
29,ChEMBL,4096,random,ROC_AUC,0.713,MMNF-OOTB
0,MUV,2,random,PRC_AUC,0.223,MMNB-OOTB
1,MUV,16,random,PRC_AUC,0.122,MMNB-OOTB
2,MUV,32,random,PRC_AUC,0.075,MMNB-OOTB
3,MUV,64,random,PRC_AUC,0.11,MMNB-OOTB
4,MUV,128,random,PRC_AUC,0.089,MMNB-OOTB
5,MUV,256,random,PRC_AUC,0.091,MMNB-OOTB
6,MUV,512,random,PRC_AUC,0.063,MMNB-OOTB
7,MUV,1024,random,PRC_AUC,0.125,MMNB-OOTB
8,MUV,2048,random,PRC_AUC,0.104,MMNB-OOTB
9,MUV,4096,random,PRC_AUC,0.084,MMNB-OOTB
10,PCBA,2,random,PRC_AUC,0.253,MMNF-OOTB
11,PCBA,16,random,PRC_AUC,0.27,MMNF-OOTB
12,PCBA,32,random,PRC_AUC,0.254,MMNF-OOTB
13,PCBA,64,random,PRC_AUC,0.263,MMNF-OOTB
14,PCBA,128,random,PRC_AUC,0.248,MMNF-OOTB
15,PCBA,256,random,PRC_AUC,0.261,MMNF-OOTB
16,PCBA,512,random,PRC_AUC,0.268,MMNF-OOTB
17,PCBA,1024,random,PRC_AUC,0.258,MMNF-OOTB
18,PCBA,2048,random,PRC_AUC,0.257,MMNF-OOTB
19,PCBA,4096,random,PRC_AUC,0.269,MMNF-OOTB
20,ChEMBL,2,random,PRC_AUC,0.667,MMNF-OOTB
21,ChEMBL,16,random,PRC_AUC,0.706,MMNF-OOTB
22,ChEMBL,32,random,PRC_AUC,0.63,MMNF-OOTB
23,ChEMBL,64,random,PRC_AUC,0.713,MMNF-OOTB
24,ChEMBL,128,random,PRC_AUC,0.638,MMNF-OOTB
25,ChEMBL,256,random,PRC_AUC,0.68,MMNF-OOTB
26,ChEMBL,512,random,PRC_AUC,0.748,MMNF-OOTB
27,ChEMBL,1024,random,PRC_AUC,0.686,MMNF-OOTB
28,ChEMBL,2048,random,PRC_AUC,0.742,MMNF-OOTB
29,ChEMBL,4096,random,PRC_AUC,0.668,MMNF-OOTB
