,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4
0,0.9490147443847321,0.8935858711631306,0.9084047849913386,0.8853452426410772,0.9084429824561403
1,0.9507553234977144,0.9131923439881918,0.9272660164638512,0.8782164965701856,0.9238298224558208
2,0.9456466250709019,0.911163739385852,0.9278323061705851,0.8874804055707076,0.9160788569361549
3,0.9486500259610392,0.8955121766022572,0.9083024194489163,0.8880274123762233,0.9089954163483576
4,0.9438940878882017,0.8930659049511509,0.910135546094361,0.8995576653360665,0.9074275029633216
5,0.944468861249066,0.9071703424840086,0.9149732620320856,0.8837962615419264,0.8966955701781357
6,0.9375272350933257,0.9001070181367579,0.9226584033450986,0.9062642395409366,0.9114660986865459
7,0.946979019942175,0.8919884270651575,0.9216010356106751,0.8931477768604789,0.9158039582459876
8,0.9383434758168977,0.9018265212849308,0.9209925291619695,0.889568472906404,0.9232657499341006
9,0.9489664831449822,0.8941442162924048,0.9122660124101047,0.877356662329393,0.920156700161619
