task_name, seed, valid_rmse, test_rmse
ESOL, 2, 0.48925409169742345, 0.5944086287700804
ESOL, 16, 0.643351654510618, 0.6480838561022569
ESOL, 32, 0.5281230976275637, 0.6246771424018419
ESOL, 64, 0.5873679078007841, 0.5720258745294986
ESOL, 128, 0.6690728855338481, 0.6221530340604828
ESOL, 256, 0.47339559816753685, 0.5862718333704797
ESOL, 512, 0.5915828555865732, 0.4652852293143635
ESOL, 1024, 0.5310224853094815, 0.5305615674623568
ESOL, 2048, 0.5235150304030373, 0.5995644448640997
ESOL, 4096, 0.5948100254619131, 0.5633112224843765
