task_name, seed, valid_rmse, test_rmse
FreeSolv, 2, 1.2749991725292527, 1.021445996265896
FreeSolv, 16, 0.8419755451515786, 1.2251924362764355
FreeSolv, 32, 1.1430984094303691, 0.9202901627949149
FreeSolv, 64, 0.6958036571437359, 1.1023377617758636
FreeSolv, 128, 0.8136894764875235, 0.8729072351365335
FreeSolv, 256, 1.0440260295639614, 1.1973858094615035
FreeSolv, 512, 0.5370264536825297, 0.7956268726416641
FreeSolv, 1024, 0.9142773443494208, 0.6996783925221697
FreeSolv, 2048, 1.062469234088378, 0.9561281373581122
FreeSolv, 4096, 0.747533154910175, 0.9983710742234617
