task_name, seed, valid_auc, test_auc
Tox21, 2, 0.807567930279062, 0.8659433153066486
Tox21, 16, 0.8388828881736553, 0.8445322508740731
Tox21, 32, 0.860444007638872, 0.84777379868677
Tox21, 64, 0.8593368282220513, 0.851528729763461
Tox21, 128, 0.8786465979445414, 0.8348341244498444
Tox21, 256, 0.835325051244987, 0.8536604021077522
Tox21, 512, 0.8301400319484283, 0.845368265053369
Tox21, 1024, 0.8438195128990001, 0.8562701078096149
Tox21, 2048, 0.8558520646415926, 0.8488653132731835
Tox21, 4096, 0.8364529542299121, 0.8422800568534369
