n_neighbors,min_dist,valid_best_loss,valid_best_auc,train_best_auc,best_epoch
0,10,0.629724486180532,0.844708382324123,0.9457893627181811,6
0.1,10,0.6921892847250826,0.8365422300607486,0.9315367731277218,6
0.2,10,0.6632020627998708,0.8349561532431902,0.9538772450669732,7
0.3,10,0.6477430624130606,0.8478989075053889,0.9119943947397452,5
0.4,10,0.6423339895485615,0.8411841073878111,0.9533695714355429,8
0.5,10,0.6383751530789877,0.842512982559279,0.9304737533693691,6
0.6,10,0.6726172846249934,0.832898540074466,0.9083302764840704,5
0.7,10,0.6535334326825002,0.8416158387223203,0.9063076939716952,5
0.8,10,0.6813608516445132,0.8320565108759552,0.9579333542613879,8
0.9,10,0.7002783095187408,0.8324423133450911,0.9441202871381044,6
0,20,0.6604484134482085,0.8377914951989026,0.9282109629926105,6
0.1,20,0.8734269486910057,0.8537931118949637,0.9209218128014899,6
0.2,20,0.6483243542476318,0.8371117479913777,0.9174752195292787,5
0.3,20,0.7992692221958736,0.8422894620811286,0.9633858959333003,8
0.4,20,0.6488277689981078,0.8388111160101901,0.9247039076683208,5
0.5,20,0.6823816634778005,0.8310032088967274,0.9247812088760651,5
0.6,20,0.8227815801228394,0.8457463746815599,0.9404324095258054,7
0.7,20,0.6592242922584071,0.8397725602586713,0.902312559436837,4
0.8,20,0.7882909859267285,0.8473477611209093,0.9117380269246054,5
0.9,20,0.6471152881795752,0.8393408289241622,0.9282831381255708,6
0,30,0.6383565447784357,0.8395827209484616,0.9400848103946955,6
0.1,30,0.6509229783489557,0.8375067362335881,0.924770674792384,6
0.2,30,0.6770140110229073,0.8413249559082892,0.9313132890823217,6
0.3,30,0.6381709580507818,0.8391938565549676,0.9326884611646523,6
0.4,30,0.6659151311776309,0.8441235547717029,0.9356964931087101,6
0.5,30,0.6434311138693793,0.8460678767391729,0.9661107763214712,9
0.6,30,0.645264123851529,0.8308715461493239,0.9594058192431207,8
0.7,30,0.6331283210287876,0.8416923868312757,0.9361996686095173,6
0.8,30,0.9521411718343721,0.834037575935724,0.8858009215042119,4
0.9,30,0.6408919893909828,0.8411565500685871,0.9437418034064203,6
0,40,0.634691735760823,0.8379905202821869,0.961858838255117,9
0.1,40,0.6549706605557192,0.8320963158926122,0.9506183430229815,7
