,task_name,train_auc,valid_auc,test_auc,metric,# trainable params,best_epoch,batch_size,lr,weight_decay
0,HIV,0.9506502015777648,0.8460801244366059,0.7758782518009233,ROC,692769,10,128,0.0001,0
1,HIV,0.9664560302733674,0.843111588771311,0.7677378860155661,ROC,692769,11,128,0.0001,0
2,HIV,0.9174410542408427,0.8369923329414071,0.7735974043531161,ROC,692769,7,128,0.0001,0
